"","ACMA8490NOF","JE015358807","KD01329730","KD01329758","172-NGS(0.15)","171-NGS(0.15)","169-NGS(0.15)","157-NGS(0.15)","543","JA00664852","1936","1366","167-NGS(0.15)","164-NGS(0.15)","153-NGS(0.15)","147-NGS(0.15)","152-NGS(0.15)","146-NGS(0.15)","161-NGS(0.15)","160-NGS(0.15)"
"ACMA8490NOF",0,0.0511314981815802,0.058101433521422,0.0616142601389866,0,0,0,0,0.0396673283618937,0.0407385143016629,0.0407614220118434,0.0486932238765985,0.058101433521422,0.058101433521422,0.058101433521422,0.058101433521422,0.0616142601389866,0.0604280199621714,0.0592445874570383,0.0592445874570383
"JE015358807",0.0511314981815802,0,0.0701031259473816,0.0640397456027116,0.0511314981815802,0.0511314981815802,0.0511314981815802,0.0511314981815802,0.0396944817832703,0.0431116588594863,0.0442344761043856,0.0454211317876336,0.0701031259473816,0.0701031259473816,0.0701031259473816,0.0701031259473816,0.0640397456027116,0.0628464276138461,0.0616559508609752,0.0616559508609752
"KD01329730",0.058101433521422,0.0701031259473816,0,0.054644393193783,0.058101433521422,0.058101433521422,0.058101433521422,0.058101433521422,0.0581821438018832,0.049934318084094,0.0476431119387561,0.0579947417849353,0,0,0,0,0.054644393193783,0.0511314981815802,0.0499659964883424,0.0499659964883424
"KD01329758",0.0616142601389866,0.0640397456027116,0.054644393193783,0,0.0616142601389866,0.0616142601389866,0.0616142601389866,0.0616142601389866,0.0524142527750035,0.0487444353057352,0.0453591555583936,0.056851913055851,0.054644393193783,0.054644393193783,0.054644393193783,0.054644393193783,0,0.0032154451651452,0.00429187184569572,0.00429187184569572
"172-NGS(0.15)",0,0.0511314981815802,0.058101433521422,0.0616142601389866,0,0,0,0,0.0396673283618937,0.0407385143016629,0.0407614220118434,0.0486932238765985,0.058101433521422,0.058101433521422,0.058101433521422,0.058101433521422,0.0616142601389866,0.0604280199621714,0.0592445874570383,0.0592445874570383
"171-NGS(0.15)",0,0.0511314981815802,0.058101433521422,0.0616142601389866,0,0,0,0,0.0396673283618937,0.0407385143016629,0.0407614220118434,0.0486932238765985,0.058101433521422,0.058101433521422,0.058101433521422,0.058101433521422,0.0616142601389866,0.0604280199621714,0.0592445874570383,0.0592445874570383
"169-NGS(0.15)",0,0.0511314981815802,0.058101433521422,0.0616142601389866,0,0,0,0,0.0396673283618937,0.0407385143016629,0.0407614220118434,0.0486932238765985,0.058101433521422,0.058101433521422,0.058101433521422,0.058101433521422,0.0616142601389866,0.0604280199621714,0.0592445874570383,0.0592445874570383
"157-NGS(0.15)",0,0.0511314981815802,0.058101433521422,0.0616142601389866,0,0,0,0,0.0396673283618937,0.0407385143016629,0.0407614220118434,0.0486932238765985,0.058101433521422,0.058101433521422,0.058101433521422,0.058101433521422,0.0616142601389866,0.0604280199621714,0.0592445874570383,0.0592445874570383
"543",0.0396673283618937,0.0396944817832703,0.0581821438018832,0.0524142527750035,0.0396673283618937,0.0396673283618937,0.0396673283618937,0.0396673283618937,0,0.0362698108604829,0.0340221618440269,0.0419329760684051,0.0581821438018832,0.0581821438018832,0.0581821438018832,0.0581821438018832,0.0524142527750035,0.0512419192953765,0.0500723281187904,0.0500723281187904
"JA00664852",0.0407385143016629,0.0431116588594863,0.049934318084094,0.0487444353057352,0.0407385143016629,0.0407385143016629,0.0407385143016629,0.0407385143016629,0.0362698108604829,0,0.0206078296190825,0.040717467239675,0.049934318084094,0.049934318084094,0.049934318084094,0.049934318084094,0.0487444353057352,0.0475870273815095,0.0464322924571782,0.0464322924571782
